,Last Refresh: 2024-11-24 19:15:48,,,
Calendar Basis,,,,
Portfolio, ,원,,
Item, , ,,
Frequency,일간,KRW,,
Non-Trading Day,Previous,Asc,,
Include Weekend,ALL, ,,
Term,20071020,20241120,,
Symbol,I.001,I.101,I.201,I.253
Symbol Name,코스피,코스피 200,코스닥,코스닥 150
Kind,IDX,IDX,IDX,IDX
Item,I31000040F,I31000040F,I31000040F,I31000040F
Item Name,종가지수(포인트),종가지수(포인트),종가지수(포인트),종가지수(포인트)
Frequency,DAILY,DAILY,DAILY,DAILY
2007-10-20,"1,970.10",248.35,786.93,
2007-10-21,"1,970.10",248.35,786.93,
2007-10-22,"1,903.81",239.94,768.90,
2007-10-23,"1,947.98",244.90,789.00,
2007-10-24,"1,933.36",243.31,781.79,
2007-10-25,"1,976.75",248.80,793.70,
2007-10-26,"2,028.06",255.65,799.06,
2007-10-27,"2,028.06",255.65,799.06,
2007-10-28,"2,028.06",255.65,799.06,
2007-10-29,"2,062.92",260.40,807.31,
2007-10-30,"2,052.37",258.87,804.99,
2007-10-31,"2,064.85",260.42,810.07,
2007-11-01,"2,063.14",260.76,809.50,
2007-11-02,"2,019.34",254.74,797.66,
2007-11-03,"2,019.34",254.74,797.66,
2007-11-04,"2,019.34",254.74,797.66,
2007-11-05,"2,015.76",253.91,794.65,
2007-11-06,"2,054.24",259.24,800.92,
2007-11-07,"2,043.19",258.74,794.08,
2007-11-08,"1,979.56",249.97,779.65,
2007-11-09,"1,990.47",252.21,779.04,
2007-11-10,"1,990.47",252.21,779.04,
2007-11-11,"1,990.47",252.21,779.04,
2007-11-12,"1,923.42",243.89,754.73,
2007-11-13,"1,932.89",244.73,756.59,
2007-11-14,"1,972.58",250.21,764.15,
2007-11-15,"1,947.74",247.39,751.27,
2007-11-16,"1,926.20",244.13,755.29,
2007-11-17,"1,926.20",244.13,755.29,
2007-11-18,"1,926.20",244.13,755.29,
2007-11-19,"1,893.47",239.78,750.79,
2007-11-20,"1,872.24",236.91,739.47,
2007-11-21,"1,806.99",228.84,727.33,
2007-11-22,"1,799.02",228.10,722.04,
2007-11-23,"1,772.88",225.54,700.68,
2007-11-24,"1,772.88",225.54,700.68,
2007-11-25,"1,772.88",225.54,700.68,
2007-11-26,"1,855.33",236.01,721.41,
2007-11-27,"1,859.79",236.38,725.55,
2007-11-28,"1,834.69",232.87,723.54,
2007-11-29,"1,877.56",238.68,734.92,
2007-11-30,"1,906.00",241.91,741.84,
2007-12-01,"1,906.00",241.91,741.84,
2007-12-02,"1,906.00",241.91,741.84,
2007-12-03,"1,902.43",241.61,736.93,
2007-12-04,"1,917.83",244.04,747.53,
2007-12-05,"1,938.20",247.03,749.95,
2007-12-06,"1,953.17",249.63,751.57,
2007-12-07,"1,934.32",247.38,747.65,
