,Last Refresh: 2024-11-24 19:29:00,
Calendar Basis,,
Portfolio, ,Default
Item, , 
Frequency,일간,KRW
Non-Trading Day,Previous,Asc
Include Weekend,ALL, 
Term,20071020,20241120
Symbol,Economy,
Symbol Name,ECO,
Kind,ECO,
Item,E11.02.003.013,
Item Name,시장금리:국고1년(%),
Frequency,D,
2007-10-20,5.32,
2007-10-21,5.32,
2007-10-22,5.3,
2007-10-23,5.31,
2007-10-24,5.28,
2007-10-25,5.29,
2007-10-26,5.29,
2007-10-27,5.29,
2007-10-28,5.29,
2007-10-29,5.3,
2007-10-30,5.31,
2007-10-31,5.32,
2007-11-01,5.33,
2007-11-02,5.31,
2007-11-03,5.31,
2007-11-04,5.31,
2007-11-05,5.31,
2007-11-06,5.31,
2007-11-07,5.3,
2007-11-08,5.28,
2007-11-09,5.29,
2007-11-10,5.29,
2007-11-11,5.29,
2007-11-12,5.3,
2007-11-13,5.3,
2007-11-14,5.31,
2007-11-15,5.32,
2007-11-16,5.33,
2007-11-17,5.33,
2007-11-18,5.33,
2007-11-19,5.35,
2007-11-20,5.36,
2007-11-21,5.41,
2007-11-22,5.41,
2007-11-23,5.4,
2007-11-24,5.4,
2007-11-25,5.4,
2007-11-26,5.41,
2007-11-27,5.43,
2007-11-28,5.51,
2007-11-29,5.57,
2007-11-30,5.48,
2007-12-01,5.48,
2007-12-02,5.48,
2007-12-03,5.48,
2007-12-04,5.5,
2007-12-05,5.55,
2007-12-06,5.55,
2007-12-07,5.61,
2007-12-08,5.61,
2007-12-09,5.61,
2007-12-10,5.61,
2007-12-11,5.61,
2007-12-12,5.61,
2007-12-13,5.59,
2007-12-14,5.59,
2007-12-15,5.59,
2007-12-16,5.59,
2007-12-17,5.59,
2007-12-18,5.59,
2007-12-19,5.59,
2007-12-20,5.6,
2007-12-21,5.65,
2007-12-22,5.65,
2007-12-23,5.65,
2007-12-24,5.68,
2007-12-25,5.68,
2007-12-26,5.67,
2007-12-27,5.67,
2007-12-28,5.67,
2007-12-29,5.67,
2007-12-30,5.67,
2007-12-31,5.67,
2008-01-01,5.67,
2008-01-02,5.77,
2008-01-03,5.77,
2008-01-04,5.76,
2008-01-05,5.76,
2008-01-06,5.76,
2008-01-07,5.76,
2008-01-08,5.77,
2008-01-09,5.74,
2008-01-10,5.7,
2008-01-11,5.55,
2008-01-12,5.55,
2008-01-13,5.55,
2008-01-14,5.55,
2008-01-15,5.51,
2008-01-16,5.48,
2008-01-17,5.5,
2008-01-18,5.46,
2008-01-19,5.46,
2008-01-20,5.46,
2008-01-21,5.45,
2008-01-22,5.42,
2008-01-23,5.23,
2008-01-24,5.17,
2008-01-25,5.21,
2008-01-26,5.21,
2008-01-27,5.21,
2008-01-28,5.15,
2008-01-29,5.15,
2008-01-30,5.12,
2008-01-31,5.06,
2008-02-01,5.06,
2008-02-02,5.06,
2008-02-03,5.06,
2008-02-04,5.11,
2008-02-05,5.07,
2008-02-06,5.07,
2008-02-07,5.07,
2008-02-08,5.07,
2008-02-09,5.07,
2008-02-10,5.07,
2008-02-11,5.06,
2008-02-12,5.05,
2008-02-13,5,
2008-02-14,4.99,
2008-02-15,4.98,
2008-02-16,4.98,
2008-02-17,4.98,
2008-02-18,4.95,
2008-02-19,4.97,
2008-02-20,4.96,
2008-02-21,5,
2008-02-22,4.98,
2008-02-23,4.98,
2008-02-24,4.98,
2008-02-25,5,
2008-02-26,5.01,
2008-02-27,4.98,
2008-02-28,4.97,
2008-02-29,4.93,
2008-03-01,4.93,
2008-03-02,4.93,
2008-03-03,4.91,
2008-03-04,4.92,
2008-03-05,4.9,
2008-03-06,4.92,
2008-03-07,4.93,
2008-03-08,4.93,
2008-03-09,4.93,
2008-03-10,4.99,
2008-03-11,5,
2008-03-12,5,
2008-03-13,5.06,
2008-03-14,5.06,
2008-03-15,5.06,
2008-03-16,5.06,
2008-03-17,5.11,
2008-03-18,5.04,
2008-03-19,5.11,
2008-03-20,5.09,
2008-03-21,5.08,
2008-03-22,5.08,
2008-03-23,5.08,
2008-03-24,5.15,
2008-03-25,5.15,
2008-03-26,5.16,
2008-03-27,5.13,
2008-03-28,5.13,
2008-03-29,5.13,
2008-03-30,5.13,
2008-03-31,5.11,
2008-04-01,5.13,
2008-04-02,5.13,
2008-04-03,5.15,
2008-04-04,5.15,
2008-04-05,5.15,
2008-04-06,5.15,
2008-04-07,5.15,
2008-04-08,5.11,
2008-04-09,5.11,
2008-04-10,5.03,
2008-04-11,5.04,
2008-04-12,5.04,
2008-04-13,5.04,
2008-04-14,5.05,
2008-04-15,5.03,
2008-04-16,5.03,
2008-04-17,5.03,
2008-04-18,5.05,
2008-04-19,5.05,
2008-04-20,5.05,
2008-04-21,5.05,
2008-04-22,5.03,
2008-04-23,5.04,
2008-04-24,5.03,
2008-04-25,5.01,
2008-04-26,5.01,
2008-04-27,5.01,
2008-04-28,5,
2008-04-29,4.99,
2008-04-30,4.95,
2008-05-01,4.95,
2008-05-02,4.95,
2008-05-03,4.95,
2008-05-04,4.95,
2008-05-05,4.95,
2008-05-06,4.93,
2008-05-07,4.96,
2008-05-08,5.12,
2008-05-09,5.12,
2008-05-10,5.12,
2008-05-11,5.12,
2008-05-12,5.12,
2008-05-13,5.16,
2008-05-14,5.15,
2008-05-15,5.15,
2008-05-16,5.13,
2008-05-17,5.13,
2008-05-18,5.13,
2008-05-19,5.19,
2008-05-20,5.08,
2008-05-21,5.1,
2008-05-22,5.06,
2008-05-23,5.07,
2008-05-24,5.07,
2008-05-25,5.07,
2008-05-26,5.04,
2008-05-27,5.01,
2008-05-28,5.01,
2008-05-29,5.05,
2008-05-30,5.07,
2008-05-31,5.07,
2008-06-01,5.07,
2008-06-02,5.12,
2008-06-03,5.12,
2008-06-04,5.11,
2008-06-05,5.11,
2008-06-06,5.11,
2008-06-07,5.11,
2008-06-08,5.11,
2008-06-09,5.16,
2008-06-10,5.25,
2008-06-11,5.23,
2008-06-12,5.23,
2008-06-13,5.23,
2008-06-14,5.23,
2008-06-15,5.23,
2008-06-16,5.22,
2008-06-17,5.2,
2008-06-18,5.21,
2008-06-19,5.19,
2008-06-20,5.22,
2008-06-21,5.22,
2008-06-22,5.22,
2008-06-23,5.32,
2008-06-24,5.32,
2008-06-25,5.31,
2008-06-26,5.28,
